Starting "SYS"."SYS_EXPORT_TABLE_01":  
Estimate in progress using BLOCKS method...
Processing object type TABLE_EXPORT/TABLE/TABLE_DATA
Total estimation using BLOCKS method: 1.228 GB
Processing object type TABLE_EXPORT/TABLE/TABLE
     Completed 120 TABLE objects in 7 seconds
Processing object type TABLE_EXPORT/TABLE/CONSTRAINT/CONSTRAINT
     Completed 113 CONSTRAINT objects in 1 seconds
Processing object type TABLE_EXPORT/TABLE/CONSTRAINT/REF_CONSTRAINT
     Completed 1 REF_CONSTRAINT objects in 0 seconds
. . exported "SYS"."WRH$_SYSMETRIC_HISTORY"              476.7 KB    8960 rows
. . exported "SYS"."WRH$_SQLSTAT":"WRH$_SQLSTA_3430975138_950"  29.07 KB       0 rows
. . exported "SYS"."WRH$_SQLSTAT":"WRH$_SQLSTA_3430975138_974"  29.07 KB       0 rows
. . exported "SYS"."WRH$_SYSSTAT":"WRH$_SYSSTA_3430975138_1021"  896.0 KB   32000 rows
. . exported "SYS"."WRH$_SYSTEM_EVENT":"WRH$_SYSTEM_3430975138_852"  8.632 KB       0 rows
. . exported "SYS"."WRH$_SYSTEM_EVENT":"WRH$_SYSTEM_3430975138_926"  8.632 KB       0 rows
. . exported "SYS"."WRH$_DLM_MISC":"WRH$_DLM_MI_3430975138_852"  6.992 KB       0 rows
. . exported "SYS"."WRH$_DLM_MISC":"WRH$_DLM_MI_3430975138_997"  6.992 KB       0 rows
. . exported "SYS"."WRH$_LATCH_MISSES_SUMMARY":"WRH$_LATCH__3430975138_852"  7.828 KB       0 rows
. . exported "SYS"."WRH$_LATCH_MISSES_SUMMARY":"WRH$_LATCH__3430975138_895"  7.828 KB       0 rows
. . exported "SYS"."WRH$_LATCH_MISSES_SUMMARY":"WRH$_LATCH__3430975138_950"  7.828 KB       0 rows
. . exported "SYS"."WRH$_LOG"                            73.20 KB    1024 rows
. . exported "SYS"."WRH$_MEM_DYNAMIC_COMP"               78.91 KB    1024 rows
. . exported "SYS"."WRH$_MUTEX_SLEEP"                    109.9 KB    1968 rows
. . exported "SYS"."WRH$_PARAMETER":"WRH$_PARAME_3430975138_1021"    803 KB   19456 rows
. . exported "SYS"."WRH$_PARAMETER":"WRH$_PARAME_3430975138_796"  7.406 KB       0 rows
. . exported "SYS"."WRH$_PARAMETER":"WRH$_PARAME_3430975138_828"  7.406 KB       0 rows
. . exported "SYS"."WRH$_PARAMETER":"WRH$_PARAME_3430975138_926"  7.406 KB       0 rows
. . exported "SYS"."WRH$_PARAMETER":"WRH$_PARAME_3430975138_997"  7.406 KB       0 rows
. . exported "SYS"."WRH$_SEG_STAT":"WRH$_SEG_ST_3430975138_1021"  735.6 KB    6659 rows
. . exported "SYS"."WRH$_SEG_STAT":"WRH$_SEG_ST_3430975138_796"  20.24 KB       0 rows
. . exported "SYS"."WRH$_SEG_STAT":"WRH$_SEG_ST_3430975138_828"  20.24 KB       0 rows
. . exported "SYS"."WRH$_SEG_STAT":"WRH$_SEG_ST_3430975138_852"  20.24 KB       0 rows
. . exported "SYS"."WRH$_SEG_STAT":"WRH$_SEG_ST_3430975138_895"  20.24 KB       0 rows
